PMID,assigned?,rule_based,Haley,,Peng Yu,Karthik,Chenwei,Xiaohuan,Yi Weng
15284116,,NA,,"Endocytosis, intracellular sorting, and processing of exosomes by dendritic cells.",,,,,
15326289,,NA,,Identification and proteomic profiling of exosomes in human urine.,,,,,
15368299,,NA,,Association of hepatitis C virus envelope proteins with exosomes.,,,,,
15499615,,Yes,,Microvesicles derived from activated platelets induce metastasis and angiogenesis in lung cancer.,,,,,
15611230,,Yes,,Peptide-specific intercellular transfer of MHC class II to CD4+ T cells directly from the immunological synapse upon cellular dissociation.,,,,,
15655551,,NA,,Tumour-derived exosomes and their role in cancer-associated T-cell signalling defects.,,,,,
15670595,,NA,,"Characterization of Saccharomyces cerevisiae Nop17p, a novel Nop58p-interacting protein that is involved in Pre-rRNA processing.",,,,,
15723705,,NA,,A phase I study of dexosome immunotherapy in patients with advanced non-small cell lung cancer.,,,,,
15764728,,NA,,Immunotherapy of murine malignant mesothelioma using tumor lysate-pulsed dendritic cells.,,,,,
15790784,,NA,,ICAM-1 on exosomes from mature dendritic cells is critical for efficient naive T-cell priming.,,,,,
15826944,,No,,Exosome-dependent trafficking of HSP70: a novel secretory pathway for cellular stress proteins.,,,,,
15879146,,Yes,,Exosomes derived from IL-10-treated dendritic cells can suppress inflammation and collagen-induced arthritis.,,,,,
15880835,,NA,,Salivary gland epithelial cell exosomes: A source of autoantigenic ribonucleoproteins.,,,,,
15906406,,No,,Potocytosis and cellular exit of complexes as cellular pathways for gene delivery by polycations.,,,,,
15919366,,NA,,Exosomes secreted from monocyte-derived dendritic cells support in vitro naive CD4+ T cell survival through NF-(kappa)B activation.,,,,,
15920032,,Yes,,Mast cell-derived exosomes activate endothelial cells to secrete plasminogen activator inhibitor type 1.,,,,,
15975838,,NA,,The immunogenicity of dendritic cell-derived exosomes.,,,,,
15982908,,NA,,Accumulation of MFG-E8/lactadherin on exosomes from immature dendritic cells.,,,,,
15990342,,Yes,,Mature dendritic cells secrete exosomes with strong ability to induce antigen-specific effector immune responses.,,,,,
16116176,,Yes,,Alternative mechanism by which IFN-gamma enhances tumor recognition: active release of heat shock protein 72.,,,,,
16128814,,NA,,"Nop53p, an essential nucleolar protein that interacts with Nop17p and Nip7p, is required for pre-rRNA processing in Saccharomyces cerevisiae.",,,,,
16243831,,NA,,More efficient induction of HLA-A*0201-restricted and carcinoembryonic antigen (CEA)-specific CTL response by immunization with exosomes prepared from heat-stressed CEA-positive tumor cells.,,,,,
16275099,,NA,,Exosomes derived from genetically modified DC expressing FasL are anti-inflammatory and immunosuppressive.,,,,,
16282196,,Yes,,HMGB1 is secreted by immunostimulated enterocytes and contributes to cytomix-induced hyperpermeability of Caco-2 monolayers.,,,,,
16313360,,Yes,,Tolerosome-induced oral tolerance is MHC dependent.,,,,,
16489091,,NA,,Allogeneic tumor cells expressing fusogenic membrane glycoproteins as a platform for clinical cancer immunotherapy.,,,,,
16501490,,No,,"Collection, storage, preservation, and normalization of human urinary exosomes for biomarker discovery.",,,,,
16541108,,NA,,Surveillance of nuclear-restricted pre-ribosomes within a subnucleolar region of Saccharomyces cerevisiae.,,,,,
16652390,,NA,,Microarray detection of novel nuclear RNA substrates for the exosome.,,,,,
16677129,,NA,,BCR-bound antigen is targeted to exosomes in human follicular lymphoma B-cells.,,,,,
16684341,,No,,Viral particles of the endogenous retrovirus ZAM from Drosophila melanogaster use a pre-existing endosome/exosome pathway for transfer to the oocyte.,,,,,
16684962,,NA,,Abnormal disulfide-linked oligomerization results in ER retention and altered signaling by TNFR1 mutants in TNFR1-associated periodic fever syndrome (TRAPS).,,,,,
16721266,,NA,,Dendritic cell-derived exosomes containing milk fat globule epidermal growth factor-factor VIII attenuate proinflammatory responses in sepsis.,,,,,
16724107,,Yes,,Retrovirus infection strongly enhances scrapie infectivity release in cell culture.,,,,,
16729021,,NA,,Subunit architecture of multimeric complexes isolated directly from cells.,,,,,
16827854,,NA,,Induction of tolerance by exosomes and short-term immunosuppression in a fully MHC-mismatched rat cardiac allograft model.,,,,,
16837903,,Yes,,Epigenetic transfer of metastatic activity by uptake of highly metastatic B16 melanoma cell-released exosomes.,,,,,
16841193,,No,,The role of the VPS4A-exosome pathway in the intrinsic egress route of a DNA-binding anticancer drug.,,,,,
16893501,,NA,,Dendritic cell-derived exosomes stimulate stronger CD8+ CTL responses and antitumor immunity than tumor cell-derived exosomes.,,,,,
16978292,,NA,,Prostate cells exposed to lycopene in vitro liberate lycopene-enriched exosomes.,,,,,
17016692,,Yes,,Enhanced induction of dendritic cell maturation and HLA-A*0201-restricted CEA-specific CD8(+) CTL response by exosomes derived from IL-18 gene-modified CEA-positive tumor cells.,,,,,
17021608,,No,,Exosomal Fetuin-A identified by proteomics: a novel urinary biomarker for detecting acute kidney injury.,,,,,
17043104,,Yes,,Dendritic cell-derived exosomes express a Streptococcus pneumoniae capsular polysaccharide type 14 cross-reactive antigen that induces protective immunoglobulin responses against pneumococcal infection in mice.,,,,,
17045761,,Yes,,The potential of retroviral vectors to cotransfer human endogenous retroviruses (HERVs) from human packaging cell lines.,,,,,
17076679,,NA,,Specific isolation of placenta-derived exosomes from the circulation of pregnant women and their immunoregulatory consequences.,,,,,
17133347,,NA,,Tristetraprolin recruits functional mRNA decay complexes to ARE sequences.,,,,,
17219095,,Yes,,Surface anchorage of superantigen SEA promotes induction of specific antitumor immune response by tumor-derived exosomes.,,,,,
17219198,,NA,,Increased induction of antitumor response by exosomes derived from interleukin-2 gene-modified tumor cells.,,,,,
17223373,,Yes,,"Apoptosis triggered by Rv1818c, a PE family gene from Mycobacterium tuberculosis is regulated by mitochondrial intermediates in T cells.",,,,,
17235024,,NA,,Identification of differentially expressed transcripts in bovine rumen and abomasum using a differential display method.,,,,,
17286953,,NA,,Determination of platinum in human subcellular microsamples by inductively coupled plasma mass spectrometry.,,,,,
17299798,,Yes,,T cell exosomes induce cholesterol accumulation in human monocytes via phosphatidylserine receptor.,,,,,
17484880,,NA,,T84-intestinal epithelial exosomes bear MHC class II/peptide complexes potentiating antigen presentation by dendritic cells.,,,,,
17486113,,Yes,,Exosome-mediated transfer of mRNAs and microRNAs is a novel mechanism of genetic exchange between cells.,,,,,
17513735,,Yes,,Tumor exosomes inhibit differentiation of bone marrow dendritic cells.,,,,,
17548253,,Yes,,Identification of genes upregulated by recombinant interferon-alpha in HepG2 cells by suppressive subtractive hybridization analysis.,,,,,
17555831,,Yes,,Curcumin reverses breast tumor exosomes mediated immune suppression of NK cell tumor cytotoxicity.,,,,,
17561097,,NA,,Redox-signaling transmitted in trans to neighboring cells by melanoma-derived TNF-containing exosomes.,,,,,
17591775,,NA,,Exosomes released from infected macrophages contain Mycobacterium avium glycopeptidolipids and are proinflammatory.,,,,,
17626150,,NA,,Nonspecific CD4(+) T cells with uptake of antigen-specific dendritic cell-released exosomes stimulate antigen-specific CD8(+) CTL responses and long-term T cell memory.,,,,,
17641014,,NA,,CD8+ dendritic cells use LFA-1 to capture MHC-peptide complexes from exosomes in vivo.,,,,,
17641058,,NA,,Nonclassical IL-1 beta secretion stimulated by P2X7 receptors is dependent on inflammasome activation and correlated with exosome release in murine macrophages.,,,,,
17641064,,NA,,Exosomes with immune modulatory features are present in human breast milk.,,,,,
17666570,,NA,,Reticulocyte-secreted exosomes bind natural IgM antibodies: involvement of a ROS-activatable endosomal phospholipase iPLA2.,,,,,
17666571,,NA,,Exosomes released from macrophages infected with intracellular pathogens stimulate a proinflammatory response in vitro and in vivo.,,,,,
17675484,,NA,,MHC class II+ exosomes in plasma suppress inflammation in an antigen-specific and Fas ligand/Fas-dependent manner.,,,,,
17675485,,NA,,Effective treatment of inflammatory disease models with exosomes derived from dendritic cells genetically modified to express IL-4.,,,,,
17700640,,No,,CD24 is a marker of exosomes secreted into urine and amniotic fluid.,,,,,
17868797,,NA,,B cell-derived exosomes can present allergen peptides and activate allergen-specific T cells to proliferate and produce TH2-like cytokines.,,,,,
17894858,,Yes,,Platelet-derived exosomes induce endothelial cell apoptosis through peroxynitrite generation: experimental evidence for a novel mechanism of septic vascular dysfunction.,,,,,
17900673,,NA,,Malignant ascites-derived exosomes of ovarian carcinoma patients contain CD24 and EpCAM.,,,,,
17910038,,NA,,"Generation of novel, secreted epidermal growth factor receptor (EGFR/ErbB1) isoforms via metalloprotease-dependent ectodomain shedding and exosome secretion.",,,,,
17911587,,NA,,Antigen presentation by exosomes released from peptide-pulsed dendritic cells is not suppressed by the presence of active CTL.,,,,,
17942226,,NA,,"Evidence for secretion of Cu,Zn superoxide dismutase via exosomes from a cell model of amyotrophic lateral sclerosis.",,,,,
17960135,,NA,,Identification of Tim4 as a phosphatidylserine receptor.,,,,,
17996049,,Yes,,Platelet-derived exosomes from septic shock patients induce myocardial dysfunction.,,,,,
18021298,,Yes,,Accelerated release of exosome-associated GM1 ganglioside (GM1) by endocytic pathway abnormality: another putative pathway for GM1-induced amyloid fibril formation.,,,,,
18042677,,NA,,The yeast Ski complex is a hetero-tetramer.,,,,,
18203441,,NA,,Exosome nanovesicles displaying G protein-coupled receptors for drug discovery.,,,,,
18266716,,NA,,Dendritic cells derived from bone marrow cells fail to acquire and present major histocompatibility complex antigens from other dendritic cells.,,,,,
18292531,,NA,,Exosomes as a short-range mechanism to spread alloantigen between dendritic cells during T cell allorecognition.,,,,,
18309083,,Yes,,Ceramide triggers budding of exosome vesicles into multivesicular endosomes.,,,,,
18345606,,NA,,Identification of breast cancer peptide epitopes presented by HLA-A*0201.,,,,,
18355242,,NA,,Serum-derived exosomes from antigen-fed mice prevent allergic sensitization in a model of allergic asthma.,,,,,
18362931,,NA,,Phase I clinical trial of autologous ascites-derived exosomes combined with GM-CSF for colorectal cancer.,,,,,
18384831,,NA,,Exosome-like vesicles in Gloydius blomhoffii blomhoffii venom.,,,,,
18490724,,NA,,Human tumor-derived exosomes down-modulate NKG2D expression.,,,,,
18494037,,NA,,Difference gel electrophoresis analysis of Ras-transformed fibroblast cell-derived exosomes.,,,,,
18501435,,NA,,Enrichment of prion protein in exosomes derived from ovine cerebral spinal fluid.,,,,,
18509321,,No,,"Urinary exosomal transcription factors, a new class of biomarkers for renal disease.",,,,,
18560543,,NA,,Exosomes derived from M. Bovis BCG infected macrophages activate antigen-specific CD4+ and CD8+ T cells in vitro and in vivo.,,,,,
18583400,,NA,,The mRNA decay promoting factor K-homology splicing regulator protein post-transcriptionally determines parathyroid hormone mRNA levels.,,,,,
18589210,,No,,MicroRNA signatures of tumor-derived exosomes as diagnostic biomarkers of ovarian cancer.,,,,,
18606707,,NA,,Exosomes from bronchoalveolar fluid of tolerized mice prevent allergic reaction.,,,,,
18646314,,NA,,HIV-1 Nef protein is secreted into vesicles that can fuse with target cells and virions.,,,,,
18675270,,NA,,Discrimination between exosomes and HIV-1: purification of both vesicles from cell-free supernatants.,,,,,
18715652,,NA,,Heat shock protein-containing exosomes in mid-trimester amniotic fluids.,,,,,
18765642,,NA,,TRF4 is involved in polyadenylation of snRNAs in Drosophila melanogaster.,,,,,
18802920,,NA,,Secretion of active membrane type 1 matrix metalloproteinase (MMP-14) into extracellular space in microvesicular exosomes.,,,,,
18819914,,NA,,Nedd4 family-interacting protein 1 (Ndfip1) is required for the exosomal secretion of Nedd4 family proteins.,,,,,
18829542,,NA,,Senescence-associated exosome release from human prostate cancer cells.,,,,,
18945959,,Yes,,Capture and transfer of HIV-1 particles by mature dendritic cells converges with the exosome-dissemination pathway.,,,,,
19002258,,NA,,Detection of microRNA expression in human peripheral blood microvesicles.,,,,,
19013163,,NA,,Liver cell-derived microparticles activate hedgehog signaling and alter gene expression in hepatic endothelial cells.,,,,,
19028452,,NA,,Proteomic profiling of human plasma exosomes identifies PPARgamma as an exosome-associated protein.,,,,,
19064723,,NA,,Activated T cells recruit exosomes secreted by dendritic cells via LFA-1.,,,,,
19109191,,Yes,,Milk fat globule epidermal growth factor-factor VIII is down-regulated in sepsis via the lipopolysaccharide-CD14 pathway.,,,,,
19109410,,NA,,Proteomic and immunologic analyses of brain tumor exosomes.,,,,,
19116988,,NA,,Identification of extracellular delta-catenin accumulation for prostate cancer detection.,,,,,
19138409,,No,,Can urinary exosomes act as treatment response markers in prostate cancer?,,,,,
19153696,,NA,,Isolation of extracellular membranous vesicles for proteomic analysis.,,,,,
19155503,,NA,,Cytomegalovirus-infected human endothelial cells can stimulate allogeneic CD4+ memory T cells by releasing antigenic exosomes.,,,,,
19158352,,NA,,Characterization of PKD protein-positive exosome-like vesicles.,,,,,
19161853,,NA,,In vivo and in vitro studies of RNA degrading activities in Archaea.,,,,,
19180475,,Yes,,"Therapeutic effect of exosomes from indoleamine 2,3-dioxygenase-positive dendritic cells in collagen-induced arthritis and delayed-type hypersensitivity disease models.",,,,,
19186199,,NA,,Exosomes are an effective vaccine against congenital toxoplasmosis in mice.,,,,,
19188015,,NA,,Systemic presence and tumor-growth promoting effect of ovarian carcinoma released exosomes.,,,,,
19188256,,NA,,Adenylation of plant miRNAs.,,,,,
19190083,,NA,,Characterization of exosome-like vesicles released from human tracheobronchial ciliated epithelium: a possible role in innate defense.,,,,,
19193788,,NA,,Noncytotoxic suppression of human immunodeficiency virus type 1 transcription by exosomes secreted from CD8+ T cells.,,,,,
19201875,,NA,,No significant CTL cross-priming by dendritic cell-derived exosomes during murine lymphocytic choriomeningitis virus infection.,,,,,
19204029,,NA,,Exosomal secretion of cytoplasmic prostate cancer xenograft-derived proteins.,,,,,
19235923,,NA,,Induction of myeloid-derived suppressor cells by tumor exosomes.,,,,,
19246649,,Yes,,COP9-associated CSN5 regulates exosomal protein deubiquitination and sorting.,,,,,
19390692,,NA,,Changes in retinal pigment epithelium related to cigarette smoke: possible relevance to smoking as a risk factor for age-related macular degeneration.,,,,,
19401683,,No,,Prostate cancer-derived urine exosomes: a novel approach to biomarkers for prostate cancer.,,,,,
19457124,,NA,,"The surface-exposed chaperone, Hsp60, is an agonist of the microglial TREM2 receptor.",,,,,
19463842,,NA,,Molecular cloning and characterization of ecto-5'-nucleotidase from the venoms of Gloydius blomhoffi.,,,,,
19473897,,Yes,,Gastric cancer exosomes promote tumour cell proliferation through PI3K/Akt and MAPK/ERK activation.,,,,,
19494253,,NA,,Human villous trophoblasts express and secrete placenta-specific microRNAs into maternal circulation via exosomes.,,,,,
19530224,,NA,,Profile of exosomes related proteins released by differentiated and undifferentiated human keratinocytes.,,,,,
19542445,,NA,,Human placenta expresses and secretes NKG2D ligands via exosomes that down-modulate the cognate receptor expression: evidence for immunosuppressive function.,,,,,
19566897,,No,,Sorting of MHC class II molecules into exosomes through a ubiquitin-independent pathway.,,,,,
19592610,,NA,,"Senescence, apoptosis, and stem cell biology: the rationale for an expanded view of intracrine action.",,,,,
19627513,,No,,Exosomes from human saliva as a source of microRNA biomarkers.,,,,,
19647308,,No,,Patient-derived tumor-reactive antibodies as diagnostic markers for ovarian cancer.,,,,,
19675137,,Yes,,Adipose tissue exosome-like vesicles mediate activation of macrophage-induced insulin resistance.,,,,,
19680595,,NA,,Astrocytes and Glioblastoma cells release exosomes carrying mtDNA.,,,,,
19682328,,Yes,,MHC II in dendritic cells is targeted to lysosomes or T cell-induced exosomes via distinct multivesicular body pathways.,,,,,
19708080,,Yes,,Immature myeloid cells induced by a high-fat diet contribute to liver inflammation.,,,,,
19772602,,NA,,Unintended spread of a biosafety level 2 recombinant retrovirus.,,,,,
19775426,,NA,,KSRP-PMR1-exosome association determines parathyroid hormone mRNA levels and stability in transfected cells.,,,,,
19786948,,NA,,Paracrine induction of endothelium by tumor exosomes.,,,,,
19810033,,NA,,ExoCarta: A compendium of exosomal proteins and RNA.,,,,,
19822081,,NA,,Immunogenicity of allo-vesicle carrying ERBB2 tumor antigen for dendritic cell-based anti-tumor immunotherapy.,,,,,
19863226,,Yes,,The role of cbl family of ubiquitin ligases in gastric cancer exosome-induced apoptosis of Jurkat T cells.,,,,,
19888536,,NA,,Cellular prion protein in blood platelets associates with both lipid rafts and the cytoskeleton.,,,,,
19948065,,NA,,Phylogeny-guided interaction mapping in seven eukaryotes.,,,,,
20052414,,NA,,Nanostructural and transcriptomic analyses of human saliva derived exosomes.,,,,,
20068364,,No,,Are sodium transporters in urinary exosomes reliable markers of tubular sodium reabsorption in hypertensive patients?,,,,,
20080967,,NA,,Differential mechanisms of shedding of the glycosylphosphatidylinositol (GPI)-anchored NKG2D ligands.,,,,,
20093776,,Yes,,Membrane-associated Hsp72 from tumor-derived exosomes mediates STAT3-dependent immunosuppressive function of mouse and human myeloid-derived suppressor cells.,,,,,
20126692,,NA,,Microfluidic isolation and transcriptome analysis of serum microvesicles.,,,,,
20153011,,Yes,,Inhibition of LINE-1 and Alu retrotransposition by exosomes encapsidating APOBEC3G and APOBEC3F.,,,,,
20156100,,Yes,,Genetic characterization of HIV type 1 Nef-induced vesicle secretion.,,,,,
20158877,,NA,,Analysis of deep sequencing microRNA expression profile from human embryonic stem cells derived mesenchymal stem cells reveals possible role of let-7 microRNA family in downstream targeting of hepatic nuclear factor 4 alpha.,,,,,
20184735,,NA,,Immunoscreening of the extracellular proteome of colorectal cancer cells.,,,,,
20304794,,No,,Functional delivery of viral miRNAs via exosomes.,,,,,
20348242,,Yes,,Contribution of MyD88 to the tumor exosome-mediated induction of myeloid derived suppressor cells.,,,,,
20348385,,NA,,Constitutive secretion in Tetrahymena thermophila.,,,,,
20353945,,Yes,,Secretory mechanisms and intercellular transfer of microRNAs in living cells.,,,,,
20407943,,NA,,Isolation and purification of exosomes in urine.,,,,,
20428099,,No,,Nucleic acids within urinary exosomes/microvesicles are potential biomarkers for renal disease.,,,,,
20458448,,NA,,Cellular prion protein released on exosomes from macrophages binds to Hsp70.,,,,,
20469967,,Yes,,Exosomes derived from interleukin-10-treated dendritic cells can inhibit trinitrobenzene sulfonic acid-induced rat colitis.,,,,,
20478618,,NA,,Bystander suppression to unrelated allergen sensitization through intranasal administration of tolerogenic exosomes in mouse.,,,,,
20480522,,NA,,Effect of 5-aza-2'-deoxycytidine on immune-associated proteins in exosomes from hepatoma.,,,,,
20484626,,NA,,Cell-produced alpha-synuclein is secreted in a calcium-dependent manner by exosomes and impacts neuronal survival.,,,,,
20506326,,NA,,Liposome-bound APO2L/TRAIL is an effective treatment in a rabbit model of rheumatoid arthritis.,,,,,
20533300,,NA,,Visualizing of the cellular uptake and intracellular trafficking of exosomes by live-cell microscopy.,,,,,
20558614,,NA,,New mechanism for Notch signaling to endothelium at a distance by Delta-like 4 incorporation into exosomes.,,,,,
20560914,,Yes,,Trophoblast-derived exosomes mediate monocyte recruitment and differentiation.,,,,,
20572937,,NA,,The RNA degradosome in Bacillus subtilis: identification of CshA as the major RNA helicase in the multiprotein complex.,,,,,
20615489,,Yes,,Fragments of antigen-loaded dendritic cells (DC) and DC-derived exosomes induce protective immunity against Leishmania major.,,,,,
20617119,,No,,Vesicular Trans-Cell Wall Transport in Fungi: A Mechanism for the Delivery of Virulence-Associated Macromolecules?,,,,,
20634433,,NA,,Biliary exosomes influence cholangiocyte regulatory mechanisms and proliferation through interaction with primary cilia.,,,,,
20661468,,Yes,,"Tumor-derived microvesicles induce, expand and up-regulate biological activities of human regulatory T cells (Treg).",,,,,
20662102,,NA,,Proteomic analysis identifies highly antigenic proteins in exosomes from M. tuberculosis-infected and culture filtrate protein-treated macrophages.,,,,,
20686450,,No,,Comparison of three methods for isolation of urinary microvesicles to identify biomarkers of nephrotic syndrome.,,,,,
20717727,,NA,,Survivin is released from cancer cells via exosomes.,,,,,
20802178,,Yes,,TLR2-mediated expansion of MDSCs is dependent on the source of tumor exosomes.,,,,,
20807507,,NA,,Transmission of circulating cell-free AA amyloid oligomers in exosomes vectors via a prion-like mechanism.,,,,,
20828738,,Yes,,Exosomes derived from immature bone marrow dendritic cells induce tolerogenicity of intestinal transplantation in rats.,,,,,
20837771,,NA,,Exosome release of β-catenin: a novel mechanism that antagonizes Wnt signaling.,,,,,
20845808,,Yes,,Glycosyl-phosphatidylinositol-anchored interleukin-2 expressed on tumor-derived exosomes induces antitumor immune response in vitro.,,,,,
20880355,,NA,,Biogenesis of a specialized plant-fungal interface during host cell internalization of Golovinomyces orontii haustoria.,,,,,
20881185,,NA,,Leishmania exosomes modulate innate and adaptive immune responses through effects on monocytes and dendritic cells.,,,,,
20935467,,NA,,Yeast lsm pro-apoptotic mutants show defects in S-phase entry and progression.,,,,,
20949024,,NA,,αB crystallin is apically secreted within exosomes by polarized human retinal pigment epithelium and provides neuroprotection to adjacent cells.,,,,,
20949044,,NA,,Let-7 microRNA family is selectively secreted into the extracellular environment via exosomes in a metastatic gastric cancer cell line.,,,,,
20950422,,NA,,Extra-cellular release and blood diffusion of BART viral micro-RNAs produced by EBV-infected nasopharyngeal carcinoma cells.,,,,,
20950868,,NA,,Induction of pregnancy during established EAE halts progression of CNS autoimmune injury via pregnancy-specific serum factors.,,,,,
21044087,,Yes,,Exosomal-like vesicles with immune-modulatory features are present in human plasma and can induce CD4+ T-cell apoptosis in vitro.,,,,,
21048109,,Yes,,Exosome-driven antigen transfer for MHC class II presentation facilitated by the receptor binding activity of influenza hemagglutinin.,,,,,
21057637,,NA,,Exosomes: Fit to deliver small RNA.,,,,,
21057646,,NA,,Secretory microRNAs as a versatile communication tool.,,,,,
21059916,,NA,,Human tumor virus utilizes exosomes for intercellular communication.,,,,,
21078874,,NA,,CARHSP1 is required for effective tumor necrosis factor alpha mRNA stabilization and localizes to processing bodies and exosomes.,,,,,
21097504,,NA,,AlphaB-crystallin is found in detergent-resistant membrane microdomains and is secreted via exosomes from human retinal pigment epithelial cells.,,,,,
21102562,,Yes,,Microvesicle-mediated RNA molecule delivery system using monocytes/macrophages.,,,,,
21106852,,NA,,Exosomes containing glycoprotein 350 released by EBV-transformed B cells selectively target B cells through CD21 and block EBV infection in vitro.,,,,,
21111824,,NA,,Release of exosomes from differentiated neurons and its regulation by synaptic glutamatergic activity.,,,,,
21113025,,Yes,,"Nuclear mRNA quality control in yeast is mediated by Nrd1 co-transcriptional recruitment, as revealed by the targeting of Rho-induced aberrant transcripts.",,,,,
21136642,,NA,,Oligodendrocytes secrete exosomes containing major myelin and stress-protective proteins: Trophic support for axons?,,,,,
21137018,,NA,,Microfiltration isolation of human urinary exosomes for characterization by MS.,,,,,
21179422,,NA,,Exosomes communicate protective messages during oxidative stress; possible role of exosomal shuttle RNA.,,,,,
21181093,,NA,,Exosomes in the ascites of ovarian cancer patients: origin and effects on anti-tumor immunity.,,,,,
21216942,,NA,,The pathogenic fungus Paracoccidioides brasiliensis exports extracellular vesicles containing highly immunogenic α-Galactosyl epitopes.,,,,,
21224375,,No,,Exosomes and cancer: a newly described pathway of immune suppression.,,,,,
21242314,,Yes,,Selective transfer of exosomes from oligodendrocytes to microglia by macropinocytosis.,,,,,
21242526,,No,,Chemokine-containing exosomes are released from heat-stressed tumor cells via lipid raft-dependent pathway and act as efficient tumor vaccine.,,,,,
21276792,,NA,,Morphologic and proteomic characterization of exosomes released by cultured extravillous trophoblast cells.,,,,,
21343399,,Yes,,Gap junction-mediated import of microRNA from bone marrow stromal cells can elicit cell cycle quiescence in breast cancer cells.,,,,,
21362503,,NA,,Protein profile of exosomes from trabecular meshwork cells.,,,,,
21373966,,NA,,L1 stimulation of human glioma cell motility correlates with FAK activation.,,,,,
21406265,,NA,,GP120-specific exosome-targeted T cell-based vaccine capable of stimulating DC- and CD4(+) T-independent CTL responses.,,,,,
21410811,,Yes,,Human trophoblast-derived exosomal fibronectin induces pro-inflammatory IL-1β production by macrophages.,,,,,
21423189,,No,,Delivery of siRNA to the mouse brain by systemic injection of targeted exosomes.,,,,,
21435393,,Yes,,Microvesicles released from rat adipocytes and harboring glycosylphosphatidylinositol-anchored proteins transfer RNA stimulating lipid synthesis.,,,,,
21439085,,NA,,Interaction and uptake of exosomes by ovarian cancer cells.,,,,,
21439315,,NA,,Induction of protective immunity against Eimeria tenella infection using antigen-loaded dendritic cells (DC) and DC-derived exosomes.,,,,,
21455179,,NA,,Cross-dressed dendritic cells drive memory CD8+ T-cell activation after viral infection.,,,,,
21468952,,NA,,Exosome isolation for proteomic analyses and RNA profiling.,,,,,
21505438,,Yes,,Unidirectional transfer of microRNA-loaded exosomes from T cells to antigen-presenting cells.,,,,,
21513579,,NA,,Enabling a robust scalable manufacturing process for therapeutic exosomes through oncogenic immortalization of human ESC-derived MSCs.,,,,,
21514161,,NA,,Amphiregulin exosomes increase cancer cell invasion.,,,,,
21533172,,Yes,,Exosomes released from M. tuberculosis infected cells can suppress IFN-γ mediated activation of naïve macrophages.,,,,,
