,PMID,paper_titles,assigned?,Haley,Peng Yu,Karthik,Xiaohuan,Yi Weng,No. EV related Matched Keywords,Calculated Result,Calculated matching keywords
1912,29526650,mirnas targeting icp delivered susceptible cells exosomes block hsv replication dose dependent manner,notass,1.0,,1.0,,1.0,1.0,0.2,0
1913,29530483,exosomal v integrin required monocyte polarization prostate cancer,notass,1.0,,1.0,,1.0,1.0,0.2,0
1914,29531019,paclitaxel treatment pc knockdown macrophages promising anti glioma strategy revealed proteomics cytotoxicity studies,notass,0.0,,0.0,,0.0,1.0,0.2,0
1915,29535716,roles macrophage exosomes immune response calcium oxalate monohydrate crystals,notass,1.0,,1.0,,1.0,4.0,0.8,1
1916,29535850,scalable cgmp compatible purification extracellular vesicles carrying bioactive human heterodimeric il lactadherin complexes,notass,0.0,,0.0,,0.0,2.0,0.4,0
1917,29538408,human embryonic stem cells extracellular vesicles effects immortalized human retinal ller cells,notass,1.0,,1.0,,1.0,2.0,0.4,0
1918,29539618,non proximal renal tubule derived urinary exosomal mir b biomarker renal fibrosis,notass,0.0,,0.0,,0.0,1.0,0.2,0
1919,29540208,exosomes patients septic shock convey mirnas related inflammation cell cycle regulation new signaling pathways sepsis,notass,1.0,,0.0,,1.0,2.0,0.4,0
1920,29542367,exosomes derived toxoplasma gondii stimulate inflammatory response jnk signaling pathway,notass,1.0,,1.0,,1.0,1.0,0.2,0
1921,29542684,exosomes suxiao jiuxin pill treated cardiac mesenchymal stem cells decrease h k demethylase utx expression mouse cardiomyocytes vitro,notass,1.0,,1.0,,1.0,2.0,0.4,0
1922,29543435,protofibrils interact trafficked microglial derived microvesicles,notass,0.0,,0.0,,0.0,0.0,0.0,0
1923,29546642,therapeutic potential engineered extracellular vesicles,notass,0.0,,0.0,,1.0,1.0,0.2,0
1924,29546715,purification exosomes primary schwann cells rna extraction next generation sequencing exosomal rnas,notass,0.0,,0.0,,0.0,2.0,0.4,0
1925,29551275,pkh labeling extracellular vesicles characterization cellular internalization contaminating pkh nanoparticles,notass,0.0,,0.0,,0.0,1.0,0.2,0
1926,29552016,utero exposure exosomal b cell alloantigens lessens alloreactivity recipients lymphocytes rather confers allograft tolerance,notass,1.0,,1.0,,1.0,0.0,0.0,0
1927,29552440,comparison extraction determination serum exosome mirna serum detection mir p serum exosome als patients,notass,0.0,,0.0,,0.0,1.0,0.2,0
1928,29552586,quantification tumor material uptake,notass,0.0,,0.0,,0.0,0.0,0.0,0
1929,29553831,exosomes asbestos exposed cells modulate gene expression mesothelial cells,notass,1.0,,1.0,,1.0,1.0,0.2,0
1930,29555374,exosomes emerging players cancer biology,notass,0.0,,0.0,,0.0,2.0,0.4,0
1931,29556340,role ptrf cavin biomarker glioma serum exosomes,notass,0.0,,0.0,,0.0,1.0,0.2,0
1932,29556344,exosomal dmbt human urine derived stem cells facilitates diabetic wound repair promoting angiogenesis,notass,1.0,,1.0,,1.0,2.0,0.4,0
1933,29556361,targeting regenerative exosomes myocardial infarction using cardiac homing peptide,notass,0.0,,0.0,,0.0,3.0,0.6000000000000001,1
1934,29557993,mirna profiling exosomes spontaneous hypertensive rats using next generation sequencing,notass,0.0,,0.0,,0.0,1.0,0.2,0
1935,29559383,serum exosomal mir serves potential diagnostic prognostic biomarker dementia,notass,0.0,,0.0,,1.0,0.0,0.0,0
1936,29559974,viral mirnas alter host cell mirna profiles modulate innate immune responses,notass,0.0,,0.0,,0.0,0.0,0.0,0
1937,29560091,epigenetic modifications hyperhomocysteinemia potential role diabetic retinopathy age related macular degeneration,notass,0.0,,0.0,,0.0,0.0,0.0,0
1938,29566346,emerging role extracellular vesicles bone remodeling,notass,1.0,,0.0,,1.0,1.0,0.2,0
1939,29567987,tumor associated macrophages derived exosomes promote migration gastric cancer cells transfer functional apolipoprotein e,notass,1.0,,1.0,,1.0,4.0,0.8,1
1940,29568403,exosomal microrna profiling identify hypoxia related biomarkers prostate cancer,notass,0.0,,0.0,,1.0,3.0,0.6000000000000001,1
1941,29568511,novel method collection nanoscopic vesicles organotypic culture model,notass,0.0,,0.0,,0.0,0.0,0.0,0
1942,29570251,tumor derived exosomes modulate cell function transfer rna,notass,1.0,,0.0,,1.0,1.0,0.2,0
1943,29582582,mirna attenuates muscle atrophy renal fibrosis muscle kidney crosstalk,notass,0.0,,1.0,,0.0,2.0,0.4,0
1944,29590649,circulating lncrnas analysis patients type diabetes reveals novel genes influencing glucose metabolism islet cell function,notass,0.0,,0.0,,0.0,1.0,0.2,0
1945,29592957,intra cardiac release extracellular vesicles shapes inflammation following myocardial infarction,notass,1.0,,1.0,,1.0,4.0,0.8,1
1946,29593572,identification exosomal mirnas rats pulmonary neutrophilic inflammation induced zinc oxide nanoparticles,notass,0.0,,0.0,,0.0,0.0,0.0,0
1947,29595984,exosomes irradiated nonsmall cell lung cancer cells reduced sensitivity recipient cells anaplastic lymphoma kinase inhibitors,notass,1.0,,1.0,,1.0,2.0,0.4,0
1948,29599080,exosomes endothelial progenitor cells improve outcome murine model sepsis,notass,1.0,,1.0,,1.0,2.0,0.4,0
1949,29600288,diffusion tensor cardiac magnetic resonance reveals exosomes cardiosphere derived cells preserve myocardial fiber architecture myocardial infarction,notass,1.0,,0.0,,0.0,3.0,0.6000000000000001,1
1950,29603092,microrna expression levels altered cerebrospinal fluid patients young onset alzheimer disease,notass,0.0,,0.0,,0.0,0.0,0.0,0
1951,29603107,low level laser irradiation high power intensity increased human endothelial cell exosome secretion via wnt signaling,notass,0.0,,0.0,,0.0,2.0,0.4,0
1952,29610454,designer exosomes produced implanted cells intracerebrally deliver therapeutic cargo parkinson disease treatment,notass,1.0,,0.0,,1.0,1.0,0.2,0
1953,29614511,tumor derived exosomal long noncoding rnas promising diagnostic biomarkers prostate cancer,notass,0.0,,0.0,,1.0,2.0,0.4,0
1954,29616126,dendritic cells loaded hela derived exosomes simulate antitumor immune response,notass,1.0,,1.0,,1.0,3.0,0.6000000000000001,1
1955,29617321,exosome mediated transfer cancer cell resistance antiestrogen drugs,notass,1.0,1.0,0.0,,1.0,2.0,0.4,0
1956,29618654,exosomal tat protein activates latent hiv primary resting cd lymphocytes,notass,1.0,,1.0,,1.0,1.0,0.2,0
1957,29621777,loading mir endothelial progenitor cells derived exosomes boosts beneficial effects hypoxia reoxygeneation injured human endothelial cells via protecting mitochondrial function,notass,1.0,,0.0,,1.0,4.0,0.8,1
1958,29621784,exosomes derived dendritic cells attenuate liver injury modulating balance treg th cells ischemia reperfusion,notass,1.0,,1.0,,1.0,4.0,0.8,1
1959,29623002,role exosomal micrornas disruption regulatory cell homeostasis multiple sclerosis,notass,1.0,,1.0,,1.0,0.0,0.0,0
1960,29624236,remedial applications exosomes cancer infections diabetes,notass,,,,,,3.0,0.6000000000000001,1
1961,29626470,exosomal mir metastatic osteosarcoma promotes cell migration invasion targeting caln,notass,1.0,,1.0,,1.0,1.0,0.2,0
1962,29626979,placental exosomes profile maternal fetal circulation intrauterine growth restriction liquid biopsies monitoring fetal growth,notass,0.0,,0.0,,0.0,1.0,0.2,0
1963,29627835,diagnosis hyperacute acute ischaemic stroke potential utility exosomal microrna p microrna p,notass,0.0,,0.0,,1.0,0.0,0.0,0
1964,29630521,prognostic predictive value long non coding rna gas mircorna colorectal cancer effects colorectal cancer cell proliferation migration invasion,notass,0.0,,0.0,,0.0,3.0,0.6000000000000001,1
1965,29631371,spheroids cardiomyocytes derived human induced pluripotent stem cells improve recovery myocardial injury mice,notass,0.0,,0.0,,0.0,2.0,0.4,0
1966,29635386,amniotic fluid exosome proteomic profile exhibits unique pathways term preterm labor,notass,0.0,,0.0,,0.0,1.0,0.2,0
1967,29636362,exosomes induce fibroblast differentiation cancer associated fibroblasts tgf signaling,notass,1.0,,1.0,,1.0,3.0,0.6000000000000001,1
1968,29636548,hypoxia induced exosomes contribute aggressive chemoresistant ovarian cancer phenotype novel mechanism linking stat rab proteins,notass,1.0,1.0,1.0,,1.0,3.0,0.6000000000000001,1
1969,29644801,exosomal micrornas milk mothers delivering preterm infants survive vitro digestion taken human intestinal cells,notass,0.0,,0.0,,0.0,1.0,0.2,0
1970,29650788,serum exosomal long noncoding rnas ensg. linc diagnosis prognosis hepatocellular carcinoma,,0.0,,0.0,,0.0,0.0,0.0,0
1971,29653387,bovine uterus derived exosomes improve developmental competence somatic cell nuclear transfer embryos,notass,1.0,,0.0,,1.0,1.0,0.2,0
1972,29654758,regulation hair follicle development exosomes derived dermal papilla cells,notass,1.0,,0.0,,1.0,1.0,0.2,0
1973,29654765,adipose mesenchymal stem cell derived exosomes stimulated hydrogen peroxide enhanced skin flap recovery ischemia reperfusion injury,notass,1.0,,1.0,,1.0,3.0,0.6000000000000001,1
1974,29660008,exosomal mir endometrial stromal cells inhibits endometriosis fibrosis,notass,1.0,,1.0,,1.0,0.0,0.0,0
1975,29660237,multiplexed isobaric tag based profiling seven murine tissues following vivo nicotine treatment using minimalistic proteomics strategy,notass,,,,,,1.0,0.2,0
1976,29660269,deterministic encapsulation human cardiac stem cells variable composition nanoporous gel cocoons enhance therapeutic repair injured myocardium,notass,0.0,,0.0,,0.0,1.0,0.2,0
1977,29660691,proteomic analysis liquid biopsy tumor draining vein indicates high expression exosomal ecm associated relapse stage iii colon cancer,notass,0.0,,0.0,,0.0,1.0,0.2,0
1978,29661576,treatment experimental necrotizing enterocolitis stem cell derived exosomes,notass,0.0,,0.0,,1.0,1.0,0.2,0
1979,29662654,extracellular vesicle encapsulated mir e suppresses cholangiocarcinoma cell invasion migration via inhibiting epithelial mesenchymal transition,notass,1.0,,1.0,,1.0,2.0,0.4,0
1980,29663493,mouse serum exosomal proteomic signature response asbestos exposure,notass,0.0,,0.0,,0.0,0.0,0.0,0
1981,29666503,regulatory cell derived extracellular vesicles modify dendritic cell function,notass,1.0,,1.0,,1.0,1.0,0.2,0
1982,29668670,exosomes released gastric cancer cells induce transition pericytes cancer associated fibroblasts,notass,1.0,,1.0,,1.0,4.0,0.8,1
1983,29669940,generation testing clinical grade exosomes pancreatic cancer,notass,0.0,,0.0,,0.0,2.0,0.4,0
1984,29671027,comparison commercial exosome isolation kits circulating exosomal microrna profiling,notass,0.0,,0.0,,0.0,1.0,0.2,0
1985,29673440,mir p transferred exosomes promotes proliferation esophageal cancer cells via intercellular communication targeting pten,notass,1.0,,1.0,,1.0,2.0,0.4,0
1986,29674685,exosomal circrna arsenite transformed cells via microrna regulation ezh involved malignant transformation human hepatic cells accelerating cell cycle promoting cell proliferation,,1.0,,,,,1.0,0.2,0
